id,code,name,categoria_ids,activar,union_id/id
employee_management_extended.record_000066,0015/75 E,SUDAMTEX S.A. / SIND. EMPLEADOS TEXTILES DE LA IND. Y AFINES DE LA R.A./ S.E.T.I.A,,FALSE,
employee_management_extended.record_000067,0015/89 E,RENAULT ARGENTINA S.A. / SIND. de MECÁNICOS Y AFINES DEL TRANSP. AUTOMOTOR,,FALSE,
employee_management_extended.record_000068,0015/91 L,D.G. I. - SECRETARIA DE HACIENDA / ASOC. DE EMP. DE LA D.G.I.,,FALSE,
employee_management_extended.record_000069,0016/05RTA,CORRIENTES Y ENTRE RIOS,,FALSE,
employee_management_extended.record_000070,0016/06RTA,SANTA FE,,FALSE,
employee_management_extended.record_000071,0016/89 E,FABRICA ARGENTINA DE ENGRANAJES S.A. / SIND. de MECÁNICOS Y AFINES DEL TRANSP. AUTOMOTOR,,FALSE,
employee_management_extended.record_000072,0017/75,SINDICATO DE EMPLEADOS Y OBREROS FOTOGRAFICOS c/ ASOCIACION DE PROPIETARIOS DE,,FALSE,
employee_management_extended.record_000073,0017/75 E,ADM. GRAL. DE PUERTOS EMP. DEL ESTADO / LA FRATERNIDAD,,FALSE,
employee_management_extended.record_000074,0017/89 E,BORGWARD ARG. SAIC / SIND. de MECÁNICOS Y AFINES DEL TRANSP. AUTOMOTOR,,FALSE,
employee_management_extended.record_000075,0018/06RTA,BUENOS AIRES Y LA PAMPA,,FALSE,
employee_management_extended.record_000076,0018/75,ASOCIACION BANCARIA c/BANCO CENTRAL DE LA REPUBLICA ARGENTINA Y OTROS.,,FALSE,
employee_management_extended.record_000077,0018/89 E,RODOLFO M. SUPPA / SINDICATO DE VENDEDORES AMBULANTES DE LA REPUBLICA ARGENTINA,,FALSE,
employee_management_extended.record_000078,0019/88,SINDICATO ARGENTINO DE MUSICOS c/ ASOC.PROMOTORES TEATRALES ARGENTINOS.(Musicos en Teatro),,FALSE,
employee_management_extended.record_000079,0020/06RTA,CORDOBA,,FALSE,
employee_management_extended.record_000080,0020/75,"UNION OBREROS TINTOREROS, SOMBREREROS Y LAVADEROS C/ REP. EMP LAVADEROS MECANICOS DE ROPA",,FALSE,
employee_management_extended.record_000081,0020/90 E,MASSEY FERGUSON ARGENTINA / SIND. de MECÁNICOS Y AFINES DEL TRANSP. AUTOMOTOR,,FALSE,
employee_management_extended.record_000082,0021/06RTA,TODO EL PAIS,,FALSE,
employee_management_extended.record_000083,0021/75 E,FERROCARRILES ARGENTINOS / UNION FERROVIARIA,,FALSE,
employee_management_extended.record_000084,0021/88,"SINDICATO DE OBREROS PASTELEROS, CONFITEROS, PIZZEROS Y ALFAJOREROS C/ UNION DE HOTELES, CONFITERIAS Y AFINES",,FALSE,
employee_management_extended.record_000085,0021/90 E,MORON AVIACION S.A. / ASOC. PERSONAL TECNICO AERONAUTICO,,FALSE,
employee_management_extended.record_000086,0021/95RTA,RIO NEGRO Y NEUQUEN,,FALSE,
employee_management_extended.record_000087,0022/05RTA,CORODBA,,FALSE,
employee_management_extended.record_000088,0022/06RTA,MENDOZA Y SAN JUAN,,FALSE,
employee_management_extended.record_000089,0022/75 E,GAS DEL ESTADO / FED. ARGENTINA DEL PERS. DE GAS DEL ESTADO,,FALSE,
employee_management_extended.record_000090,0022/88,"SINDICATO DE OBREROS PASTELEROS, CONFITEROS PIZZEROS Y ALFAJOREROS C/ UNION DE HOTELES,CANFITERIAS, BARES, CAFES, RESTAURANTES Y AF.",,FALSE,
employee_management_extended.record_000091,0022/90 E,LA CASA DE LAS JUNTAS / SIND. de MECÁNICOS Y AFINES DEL TRANSP. AUTOMOTOR,,FALSE,
employee_management_extended.record_000092,0023/06RTA,MENDOZA Y SAN JUAN,,FALSE,
employee_management_extended.record_000093,0023/88,"SINDICATO DE OBREROS PASTELEROS, CONFITEROS PIZZEROS Y ALFAJOREROS C/ UNION DE HOTELES,CANFITERIAS, BARES, CAFES, RESTAURANTES Y AF.",,FALSE,
employee_management_extended.record_000094,0023/90 E,INDUTLANTICA S.A.I.C. / SIND. de MECÁNICOS Y AFINES DEL TRANSP. AUTOMOTOR,,FALSE,
employee_management_extended.record_000095,0023/90RTA,LA RIOJA Y CATAMARCA,,FALSE,
employee_management_extended.record_000096,0023/95RTA,BUENOS AIRES Y LA PAMPA,,FALSE,
employee_management_extended.record_000097,0024/06RTA,MENDOZA Y SAN JUAN,,FALSE,
employee_management_extended.record_000098,0024/75,UNION FERROVIARIA C/ ADM. GRAL DE PUERTOS DEL ESTADO. UNION FERROVIARIA.,,FALSE,
